titulacion;universidad;facultad;provincia;comunidad_autonoma;nota_actual;nota_anterior;nota_maxima;universidad_nota_maxima;nota_minima;universidad_nota_minima
Ingeniería Informática en Ingeniería de Computadores;Universidad de Oviedo;Escuela Politécnica de Ingeniería de Gijón;Asturias;Asturias;9,196;7,3;11,646;Universidad Politécnica de Valencia;;Varios
Ingeniería Informática en Tecnologías de la Información;Universidad de Oviedo;Escuela Politécnica de Ingeniería de Gijón;Asturias;Asturias;8,471;5,82;8,92;Universidad Miguel Hernández de Elche;;Universidad de Extremadura
Ingeniería Informática en Tecnologías de la Información / Ciencia e Ingeniería de Datos;Universidad de Oviedo;Escuela Politécnica de Ingeniería de Gijón;Asturias;Asturias;13,336;10,61;13,336;Universidad de Oviedo;13,336;Universidad de Oviedo
Ingeniería Mecánica;Universidad de Oviedo;Escuela Politécnica de Ingeniería de Gijón;Asturias;Asturias;5,018;5,07;12,31;Universidad Politécnica de Valencia;;Varios
Ingeniería Química;Universidad de Oviedo;Facultad de Química;Asturias;Asturias;8,946;6,37;11,749;Universidad Politécnica de Madrid;;Varios
Ingeniería Química Industrial;Universidad de Oviedo;Escuela Politécnica de Ingeniería de Gijón;Asturias;Asturias;5,251;7,14;6,685;Universidad de La Laguna;;Varios
Ingeniería de Recursos Mineros y Energéticos;Universidad de Oviedo;Escuela Politécnica de Mieres;Asturias;Asturias;5,0;5,67;5,0;Universidad de Oviedo;;Universidad de Oviedo
Ingeniería de Tecnologías Industriales;Universidad de Oviedo;Escuela Politécnica de Ingeniería de Gijón;Asturias;Asturias;5,114;5,28;11,695;Universidad de Sevilla;5,114;Universidad de Oviedo
Ingeniería de Tecnologías Mineras;Universidad de Oviedo;Escuela Politécnica de Mieres;Asturias;Asturias;5,0;7,4;5,0;Varios;;Varios
Ingeniería en Tecnologías y Servicios de Telecomunicación;Universidad de Oviedo;Escuela Politécnica de Ingeniería de Gijón;Asturias;Asturias;5,326;5,64;5,326;Universidad de Oviedo;5,326;Universidad de Oviedo
Ingeniería en Tecnologías y Servicios de Telecomunicación / Ciencia e Ingeniería de Datos;Universidad de Oviedo;Escuela Politécnica de Ingeniería de Gijón;Asturias;Asturias;11,939;11,33;11,939;Universidad de Oviedo;11,939;Universidad de Oviedo
Lengua Española y sus Literaturas;Universidad de Oviedo;Facultad de Filosofía y Letras;Asturias;Asturias;5,0;5,83;5,0;Varios;;Varios
Lenguas Modernas y sus Literaturas;Universidad de Oviedo;Facultad de Filosofía y Letras;Asturias;Asturias;5,0;5,1;6,813;Universitat de València (Estudi General);;Varios
Logopedia;Universidad de Oviedo;Facultad de Psicología;Asturias;Asturias;11,168;9,45;11,168;Universidad de Oviedo;;Universidad de Cantabria
Marina;Universidad de Oviedo;Escuela Superior de Marina Civil;Asturias;Asturias;5,482;6,07;5,482;Universidad de Oviedo;;Varios
Matemáticas;Universidad de Oviedo;Facultad de Ciencias;Asturias;Asturias;12,552;11,65;12,891;Universidad de Salamanca;;Universidad Nacional de Educación a Distancia
Matemáticas / Física;Universidad de Oviedo;Facultad de Ciencias;Asturias;Asturias;13,384;12,87;13,75;Universidad de Granada;13,156;Universidad de Oviedo
Medicina;Universidad de Oviedo;Facultad de Medicina y Ciencias de la Salud;Asturias;Asturias;12,964;12,86;13,45;Universidad de Sevilla;11,388;Universidad de Vic - Universidad Central de Cataluña
Náutica y Transporte Marítimo;Universidad de Oviedo;Escuela Superior de Marina Civil;Asturias;Asturias;6,36;5,45;7,909;Universidad Politécnica de Catalunya;;Universidad del País Vasco/Euskal Herriko Unibertsitatea
Odontología;Universidad de Oviedo;Facultad de Medicina y Ciencias de la Salud;Asturias;Asturias;12,81;9,36;13,23;Universidad de Sevilla;;Universidad de las Illes Balears
Pedagogía;Universidad de Oviedo;Facultad de Formación del Profesorado y Educación;Asturias;Asturias;7,232;5,33;9,834;Universidad del País Vasco/Euskal Herriko Unibertsitatea;;Varios
Psicología;Universidad de Oviedo;Facultad de Psicología;Asturias;Asturias;11,752;7,1;11,829;Universidad de Sevilla;;Varios
Química;Universidad de Oviedo;Facultad de Química;Asturias;Asturias;9,947;6,19;11,095;Universidad de Alicante;;Varios
